Sector 1,Sector 2,Similarity Score
Automotive,Tourism & Hospitality,66.21041321714763
Green Jobs,Iron and Steel,66.13033531931184
Iron and Steel,Green Jobs,66.13033531931184
"Education, Training & Research",Mining,66.12860934667222
Mining,"Education, Training & Research",66.12860934667222
Domestic Workers,Hydrocarbon,66.12259190884421
Hydrocarbon,Domestic Workers,66.12259190884421
Wood & Carpentry,Leather,66.12042957103127
Leather,Wood & Carpentry,66.12042957103127
Hydrocarbon,Cross Sectoral,66.09512704178344
Cross Sectoral,Hydrocarbon,66.09512704178344
Logistics,Automotive,66.09107267812124
Automotive,Logistics,66.09107267812124
Food Processing,Instrumentation,66.0797366767343
Instrumentation,Food Processing,66.0797366767343
Telecom,"Water Supply, Sewerage, Waste Management & Remediation activities",66.07382432198843
"Water Supply, Sewerage, Waste Management & Remediation activities",Telecom,66.07382432198843
Information Technology Sector,BFSI,66.06094180433492
BFSI,Information Technology Sector,66.06094180433492
Tourism & Hospitality,BFSI,66.00235985504195
BFSI,Tourism & Hospitality,66.00235985504195
Management,Sports,65.98027505114952
Sports,Management,65.98027505114952
Construction,Apparel,65.97379700026262
Apparel,Construction,65.97379700026262
Sports,Leather,65.95894493148867
Leather,Sports,65.95894493148867
Logistics,BFSI,65.95659908290304
BFSI,Logistics,65.95659908290304
Gem & Jewellery,Gem & Jewellery,65.95083103139388
Agriculture,Mining,65.94320554033833
Mining,Agriculture,65.94320554033833
Healthcare,Mining,65.93876347691075
Mining,Healthcare,65.93876347691075
Telecom,Plumbing,65.9384747799483
Plumbing,Telecom,65.9384747799483
Handicrafts and Carpet,Food Processing,65.93832913955349
Food Processing,Handicrafts and Carpet,65.93832913955349
Life Sciences,Green Jobs,65.93827490867965
Green Jobs,Life Sciences,65.93827490867965
Capital Goods & Manufacturing,Instrumentation,65.9356074340417
Instrumentation,Capital Goods & Manufacturing,65.9356074340417
Telecom,Retail,65.91675961486577
Retail,Telecom,65.91675961486577
Tourism & Hospitality,Food Processing,65.90224140958566
Food Processing,Tourism & Hospitality,65.90224140958566
Instrumentation,Apparel,65.90099236506565
Apparel,Instrumentation,65.90099236506565
"Water Supply, Sewerage, Waste Management & Remediation activities",Sports,65.85501094576261
Sports,"Water Supply, Sewerage, Waste Management & Remediation activities",65.85501094576261
Food Processing,"Education, Training & Research",65.83807478390266
"Education, Training & Research",Food Processing,65.83807478390266
Leather,Agriculture,65.82596298245012
Agriculture,Leather,65.82596298245012
"Water Supply, Sewerage, Waste Management & Remediation activities",Automotive,65.82223781860606
Automotive,"Water Supply, Sewerage, Waste Management & Remediation activities",65.82223781860606
Iron and Steel,Telecom,65.79211133943569
Telecom,Iron and Steel,65.79211133943569
Healthcare,Logistics,65.78861071633617
Logistics,Healthcare,65.78861071633617
Instrumentation,Plumbing,65.78777453757984
Plumbing,Instrumentation,65.78777453757984
Tourism & Hospitality,Leather,65.77123036053706
Leather,Tourism & Hospitality,65.77123036053706
Logistics,Retail,65.76349916251053
Retail,Logistics,65.76349916251053
Information Technology Sector,Management,65.76328676994727
Management,Information Technology Sector,65.76328676994727
Management,Domestic Workers,65.75335533839386
Domestic Workers,Management,65.75335533839386
PwD,Cross Sectoral,65.7284072213198
Cross Sectoral,PwD,65.7284072213198
